都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
222038,0000000001,静岡県,沼津市,キラメッセぬまづ,キラメッセヌマヅ,静岡県沼津市大手町1丁目1-4,,35.104159,138.862316,1階管理事務所,055-920-4100,,8000020222038,沼津市,月火水木金土日,09:00,22:00,休館日あり,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000002,静岡県,沼津市,キラメッセぬまづ,キラメッセヌマヅ,静岡県沼津市大手町1丁目1-4,,35.104159,138.862316,1階ロッカーコーナー入口横,055-920-4100,,8000020222038,沼津市,月火水木金土日,09:00,22:00,休館日あり,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000003,静岡県,沼津市,保健センター・青少年教育センター,ホケンセンター・セイショウネンキョウイクセンター,静岡県沼津市八幡町97,,35.097279,138.855766,1階ロビー北側壁面,055-951-3480,,8000020222038,沼津市,月火水木金,08:30,22:00,祝日、休日、年末年始を除く,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000004,静岡県,沼津市,保健センター・青少年教育センター,ホケンセンター・セイショウネンキョウイクセンター,静岡県沼津市八幡町97,,35.097231,138.85575,2階ロビー展示ケース横,055-951-3480,,8000020222038,沼津市,月火水木金,08:30,22:00,"祝日、休日、年末年始を除く
貸出による非設置期間あり",,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000005,静岡県,沼津市,第一地区センター,ダイイチチクセンター,静岡県沼津市八幡町65-1,,35.098486,138.853518,ロビー左側の壁,055-963-5088,,8000020222038,沼津市,火水木金土日,09:00,21:00,休館日：月曜日、国民の祝日に関する法律に規定する休日の翌日、年末年始,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000006,静岡県,沼津市,第一小学校,ダイイチショウガッコウ,静岡県沼津市八幡町65-1,,35.098508,138.853862,職員室前の廊下の壁,055-962-0351,,8000020222038,沼津市,月火水木金,08:00,16:30,祝日、休日、年末年始、長期休業等による学校閉庁日を除く,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000007,静岡県,沼津市,第一中学校,ダイイチチュウガッコウ,静岡県沼津市丸子町692-1,,35.1033544,138.8491591,校長室前の廊下の壁,055-962-1551,,8000020222038,沼津市,月火水木金,08:00,16:30,祝日、休日、年末年始、長期休業等による学校閉庁日を除く,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000008,静岡県,沼津市,第二地区センター,ダイニチクセンター,静岡県沼津市本字千本1910-219,,35.093028,138.8504552,玄関ホールテレビ下,055-954-1022,,8000020222038,沼津市,火水木金土日,09:00,21:00,休館日：月曜日、国民の祝日に関する法律に規定する休日の翌日、年末年始,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000009,静岡県,沼津市,千本プラザ,センボンプラザ,静岡県沼津市本字千本1910-206,,35.092802,138.850155,事務室,055-962-3313,,8000020222038,沼津市,月火水木金土日,09:00,21:00,休館日：毎月第１月曜日（但し祝日の場合は第２月曜日）、年末年始,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000010,静岡県,沼津市,千本浜海水浴場,センボンハマカイスイヨクジョウ,静岡県沼津市本字千本1910-24地先,,35.091492,138.8481,仮設監視所内,055-934-4746,,8000020222038,沼津市,月火水木金土日,08:30,17:00,夏期のみ,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,設置は期間限定
222038,0000000011,静岡県,沼津市,ときわ保育所,トキワホイクショ,静岡県沼津市本字千本1906-4,,35.0852957,138.8524617,玄関左側下駄箱上,055-963-4694,,8000020222038,沼津市,月火水木金土,07:00,18:15,祝日、年末年始を除く,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000012,静岡県,沼津市,若山牧水記念館,ワカヤマボクスイキネンカン,静岡県沼津市千本郷林1907-11,,35.0870683,138.8494175,正面入口左側,055-962-0424,,8000020222038,沼津市,火水木金土日,09:00,16:30,休館日：月曜日（祝日にあたる場合はその翌日）、年末年始,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000013,静岡県,沼津市,庄司美術館,ショウジビジュツカン,静岡県沼津市本字下一丁田900-1,,35.0951288,138.849198,1階受付後ろ,055-952-8711,,8000020222038,沼津市,火水木金土日,09:00,16:30,休館日：毎週月曜日、祝日の翌日、年末年始,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000014,静岡県,沼津市,第二小学校,ダイニショウガッコウ,静岡県沼津市常盤町2-32,,35.089716,138.854436,校長室前の廊下の壁,055-962-0352,,8000020222038,沼津市,月火水木金,08:00,16:30,祝日、休日、年末年始、長期休業等による学校閉庁日を除く,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000015,静岡県,沼津市,千本小学校,センボンショウガッコウ,静岡県沼津市本字千本1910-19,,35.096638,138.847602,職員室前の廊下側の壁,055-962-0356,,8000020222038,沼津市,月火水木金,08:00,16:30,祝日、休日、年末年始、長期休業等による学校閉庁日を除く,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000016,静岡県,沼津市,第二中学校,ダイニチュウガッコウ,静岡県沼津市本字千本1910-19,,35.097384,138.846314,職員室前の廊下の柱,055-962-1552,,8000020222038,沼津市,月火水木金,08:00,16:30,祝日、休日、年末年始、長期休業等による学校閉庁日を除く,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000018,静岡県,沼津市,第三地区センター,ダイサンチクセンター,静岡県沼津市下香貫楊原750-4,,35.0840278,138.879446,事務所受付カウンター,055-934-8003,,8000020222038,沼津市,火水木金土日,09:00,21:00,休館日：月曜日、国民の祝日に関する法律に規定する休日の翌日、年末年始,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000019,静岡県,沼津市,御用邸記念公園,ゴヨウテイキネンコウエン,静岡県沼津市下香貫島郷2802-1,,35.072859,138.871519,管理事務所,055-931-0005,,8000020222038,沼津市,月火水木金土日,09:00,16:00,年末年始を除く,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
222038,0000000020,静岡県,沼津市,歴史民俗資料館,レキシミンゾクシリョウカン,静岡県沼津市下香貫島郷2802-1,,35.071463,138.873107,正面入口左側,055-932-6266,,8000020222038,沼津市,火水木金土日,09:00,16:00,休館日：月曜日（祝日は開館）、毎月最終の平日、祝日の翌日（土日を除く）、年末年始,,https://city.numazu.shizuoka.jp/kurashi/anshin/aed/setti.htm,
